Date;Ouverture;Plus Haut;Plus Bas;Cloture
08/01/2021;39451.91;42044.99;37020.14;40809.93
11/01/2021;38404.63;38404.63;30677.37;35604.81
12/01/2021;35564.19;36545.88;33057.00;34005.00
13/01/2021;34104.78;37558.04;32727.58;37331.12
14/01/2021;37300.64;39808.00;36859.79;39139.87
15/01/2021;39158.46;39559.24;34707.02;36705.81
19/01/2021;36604.66;37608.31;36184.93;36184.93
20/01/2021;36025.91;36326.87;33695.72;35610.00
21/01/2021;35521.72;35524.84;30299.92;30937.52
22/01/2021;30829.07;33812.98;28958.48;32931.69
25/01/2021;32235.29;34772.34;32201.62;32359.86
26/01/2021;32291.69;32767.16;31261.15;32558.99
27/01/2021;32480.49;32480.49;29433.27;30346.27
28/01/2021;30424.02;33713.28;30080.89;33165.48
29/01/2021;33266.00;38293.04;32050.25;34163.05
01/02/2021;33024.54;34481.13;32371.87;33400.93
02/02/2021;33416.38;35762.89;33416.38;35410.05
03/02/2021;35384.28;37394.46;35361.08;37337.39
04/02/2021;37433.67;38470.13;36262.29;36856.19
05/02/2021;36859.13;38137.42;36608.67;37940.23
08/02/2021;38761.24;46064.11;37995.96;46047.93
09/02/2021;46138.81;47873.05;45218.59;46398.46
10/02/2021;46399.92;47077.48;43844.09;44839.02
11/02/2021;44831.02;48305.32;44173.91;47693.32
12/02/2021;47847.64;48515.28;46406.90;47413.46
15/02/2021;48584.56;48790.16;46281.56;47940.26
16/02/2021;47919.45;50134.83;47267.37;49200.64
17/02/2021;49162.54;52446.04;49138.27;52092.41
18/02/2021;52088.51;52432.01;51015.34;51656.56
19/02/2021;51617.23;56127.64;50880.61;55870.54
22/02/2021;57484.70;57484.70;49671.88;54228.61
23/02/2021;54229.89;54229.89;45536.98;48563.89
24/02/2021;48842.04;51303.12;47318.52;49682.33
25/02/2021;49722.12;51815.46;47309.34;47309.34
26/02/2021;47084.98;48254.74;44586.91;46179.72
01/03/2021;45132.93;49725.39;45132.93;49642.50
02/03/2021;49598.61;50156.00;47176.33;48336.16
03/03/2021;48386.60;52442.43;48248.23;50609.39
04/03/2021;50445.63;51680.72;47739.48;48572.36
05/03/2021;48498.69;49369.42;46550.53;48933.56
08/03/2021;50958.07;52152.60;49397.04;52152.60
09/03/2021;52167.43;54758.30;51873.53;54699.02
10/03/2021;54818.95;57180.26;53240.15;56056.46
11/03/2021;55945.13;58040.72;54494.23;57731.90
12/03/2021;57746.53;57898.36;55393.92;57357.74
15/03/2021;59219.01;60440.72;55459.09;55811.43
16/03/2021;55873.94;56799.63;53542.22;56507.16
17/03/2021;56836.70;58819.18;54434.80;58731.13
18/03/2021;58862.86;59956.63;57486.93;57759.67
19/03/2021;57724.06;59377.84;56585.73;58236.94
22/03/2021;57383.20;58187.28;54247.51;54516.81
23/03/2021;54331.21;55894.12;53383.69;54738.17
24/03/2021;54628.86;57109.21;52588.89;52792.64
25/03/2021;52622.40;53218.94;50801.84;51542.76
26/03/2021;51488.40;54934.39;51488.40;54934.39
29/03/2021;55727.58;58252.86;54987.95;57707.81
30/03/2021;57680.14;59370.14;57167.24;58796.61
31/03/2021;58801.63;59836.41;57699.25;58776.76
01/04/2021;58844.10;59448.42;58304.86;58794.30
02/04/2021;58771.10;60086.04;58600.23;59035.73
05/04/2021;58180.21;60557.42;56890.09;60557.42
06/04/2021;60585.25;61069.39;59186.03;59852.59
07/04/2021;59916.70;60213.20;55677.68;56126.87
08/04/2021;55970.47;58121.64;55970.47;58068.48
09/04/2021;58116.59;58888.96;57815.55;58201.91
12/04/2021;60101.74;61403.57;59756.36;59978.89
13/04/2021;59933.20;63818.41;59926.01;63608.18
14/04/2021;63675.35;65028.97;61806.60;62866.96
15/04/2021;63099.63;63917.18;62214.97;63448.50
16/04/2021;63461.27;63940.01;61432.29;63031.57
19/04/2021;56655.52;58090.48;56137.75;57000.38
20/04/2021;56902.94;57257.56;53967.53;56581.49
21/04/2021;56501.04;57074.55;53977.80;54066.09
22/04/2021;53947.18;55466.96;51206.47;51961.16
23/04/2021;51891.20;52121.33;48020.49;51133.55
26/04/2021;49129.49;54398.61;49129.49;54059.78
27/04/2021;54100.92;55434.14;53499.70;55047.31
28/04/2021;55102.37;55421.71;55102.37;55421.71
29/04/2021;54990.84;55209.34;52584.61;53691.89
30/04/2021;53664.54;57892.56;53310.30;57836.23
03/05/2021;56680.61;58978.59;56680.61;57368.29
04/05/2021;57256.41;57256.41;53775.19;53775.19
05/05/2021;53643.45;58212.00;53643.45;57631.25
06/05/2021;57689.53;58576.43;55553.51;56797.27
07/05/2021;56579.61;59356.26;56220.06;57508.98
10/05/2021;58562.40;59687.50;55046.71;56006.39
11/05/2021;55986.51;57054.18;54781.00;56951.70
12/05/2021;56939.41;58049.89;51300.62;51300.62
13/05/2021;50331.10;51379.18;47575.99;49754.48
14/05/2021;49837.84;51657.79;49040.54;50160.98
17/05/2021;46550.00;46550.00;42452.44;43571.46
18/05/2021;43533.66;45726.54;42496.45;43122.04
19/05/2021;43019.29;43523.82;33880.25;37293.46
20/05/2021;37150.74;42439.23;35762.20;40564.51
21/05/2021;40702.11;41999.94;34073.65;37224.15
24/05/2021;34864.60;39775.55;34819.98;38746.79
25/05/2021;38753.22;39744.31;36768.81;38249.91
26/05/2021;38388.16;40729.46;38009.95;39314.31
27/05/2021;39281.12;40310.21;37367.16;38590.33
28/05/2021;38508.86;38803.41;34893.77;35735.34
31/05/2021;35678.33;37448.22;34333.84;37366.18
01/06/2021;37341.02;37831.40;35873.61;36685.07
02/06/2021;36702.75;38265.26;36097.43;37762.58
03/06/2021;37707.72;39526.50;37364.22;39206.61
04/06/2021;39217.88;39217.88;35876.01;37022.34
07/06/2021;35845.15;36747.94;33617.01;33617.01
08/06/2021;33611.76;34038.34;31360.35;33491.43
09/06/2021;33509.04;37530.08;32592.81;37437.41
10/06/2021;37358.93;38287.14;35935.46;36885.74
11/06/2021;36729.04;37562.35;36103.13;37308.64
14/06/2021;39136.82;40921.45;38880.00;40483.86
15/06/2021;40498.31;41275.27;39749.76;40256.58
16/06/2021;40210.86;40511.20;38202.55;38293.22
17/06/2021;38345.96;39508.93;37584.30;38106.25
18/06/2021;38095.54;38156.61;35319.30;35683.85
21/06/2021;35687.64;35693.08;31465.00;31716.45
22/06/2021;31751.62;33259.83;29207.66;32495.82
23/06/2021;32535.71;34705.99;31980.04;33734.32
24/06/2021;33730.69;35177.77;32499.39;34642.46
25/06/2021;34689.13;35398.70;31463.99;31798.46
28/06/2021;34681.05;35164.17;34075.85;34482.80
29/06/2021;34500.25;36535.93;34354.89;35917.64
30/06/2021;35943.33;36136.32;34247.32;35127.08
01/07/2021;35080.57;35080.57;32924.25;33627.50
02/07/2021;33563.25;33891.09;32819.83;33871.09
05/07/2021;35332.09;35332.09;33327.91;33890.32
06/07/2021;33793.79;35021.83;33691.54;34134.13
07/07/2021;34227.65;34961.61;33950.10;33972.99
08/07/2021;33906.65;33906.65;32322.34;32860.40
09/07/2021;32886.04;34039.14;32409.64;33911.57
12/07/2021;34258.00;34602.15;32723.92;33219.12
13/07/2021;33179.58;33308.13;32299.95;32616.06
14/07/2021;32721.61;33081.55;31815.70;32851.66
15/07/2021;32879.57;33230.55;31261.33;31698.31
16/07/2021;31818.63;32237.76;31188.67;31479.28
19/07/2021;31838.74;31858.98;30637.38;30913.71
20/07/2021;30897.74;30981.96;29509.07;29834.52
21/07/2021;29853.99;32589.92;29625.31;32229.21
22/07/2021;32189.68;32571.46;31826.22;32385.27
23/07/2021;32348.12;33543.86;32124.49;33543.86
26/07/2021;35380.79;40390.74;35353.45;37323.16
27/07/2021;37325.79;39251.42;36494.35;39179.96
28/07/2021;39406.00;40776.05;39006.71;40020.17
29/07/2021;40027.74;40579.26;39430.50;40017.90
30/07/2021;40025.43;41954.15;38449.41;41954.15
02/08/2021;40031.02;40360.58;38846.54;39226.61
03/08/2021;39227.67;39665.71;37942.46;38279.90
04/08/2021;38192.79;39951.31;37730.55;39802.49
05/08/2021;39775.73;41306.71;37568.76;40906.43
06/08/2021;40902.23;43058.03;40005.73;42810.89
09/08/2021;43838.67;46402.81;42933.82;46276.80
10/08/2021;46323.97;46538.82;44787.04;45576.80
11/08/2021;45560.07;46683.59;45402.40;45673.32
12/08/2021;45621.84;46204.21;43978.03;44486.78
13/08/2021;44483.77;47752.20;44375.84;47752.20
16/08/2021;47065.77;47938.71;45826.35;45928.32
17/08/2021;46016.02;46972.88;44648.91;44648.91
18/08/2021;44685.58;45914.66;44443.11;44947.34
19/08/2021;44849.19;46879.56;44091.80;46640.83
20/08/2021;46729.05;49253.65;46716.31;49202.39
23/08/2021;49292.70;50403.25;49183.21;49517.47
24/08/2021;49519.02;49827.07;47792.33;47792.33
25/08/2021;47765.71;49125.86;47219.17;48994.94
26/08/2021;48996.90;49344.10;46555.52;47229.06
27/08/2021;46984.42;49146.73;46512.44;49079.38
30/08/2021;48884.94;48884.94;47144.28;47170.55
31/08/2021;47168.48;48151.08;46901.16;47314.95
01/09/2021;47235.98;48918.35;46661.66;48757.11
02/09/2021;48839.15;50296.02;48751.60;49362.54
03/09/2021;49334.71;50988.61;48544.05;49995.96
06/09/2021;51715.64;52699.39;51223.90;52644.50
07/09/2021;52665.75;52875.47;46040.66;47001.72
08/09/2021;46948.07;47375.88;44851.76;46125.21
09/09/2021;46152.20;47296.53;45855.32;46445.90
10/09/2021;46458.11;47077.13;44510.99;44905.92
13/09/2021;46124.59;46467.01;43973.41;45098.41
14/09/2021;45047.64;47224.14;44975.58;47068.17
15/09/2021;47102.82;48470.79;46834.06;48156.64
16/09/2021;48191.92;48477.80;47184.15;47856.64
17/09/2021;47818.25;48160.23;46972.60;47247.12
20/09/2021;47277.80;47282.32;42756.98;42980.49
21/09/2021;43004.29;43563.68;40120.41;40604.20
22/09/2021;40645.45;43990.65;40645.45;43621.12
23/09/2021;43610.27;44912.58;43219.98;44862.74
24/09/2021;44900.09;45076.77;41087.52;42800.25
27/09/2021;43232.24;44305.21;42345.31;42402.95
28/09/2021;42324.72;42782.23;41095.73;41104.70
29/09/2021;41100.52;42551.28;40985.34;41579.65
30/09/2021;41586.20;44039.82;41547.68;43858.37
01/10/2021;43868.93;48577.02;43403.41;48122.14
04/10/2021;48235.34;49469.75;47304.81;49325.28
05/10/2021;49275.33;51785.77;49191.41;51600.50
06/10/2021;51557.89;55576.60;50582.82;55433.61
07/10/2021;55439.70;55439.70;53711.69;53834.88
08/10/2021;53839.16;55851.68;53788.46;53945.19
11/10/2021;54749.03;57763.84;54708.63;57426.41
12/10/2021;57462.37;57615.73;54826.30;56290.71
13/10/2021;56090.72;57656.89;54462.67;57433.30
14/10/2021;57435.08;58423.51;57072.68;57435.25
15/10/2021;57397.57;62566.17;57012.27;61501.82
18/10/2021;61565.74;62472.16;60307.12;61988.39
19/10/2021;62009.52;64418.46;61754.30;64323.18
20/10/2021;64288.68;66890.89;63662.11;66109.15
21/10/2021;66066.23;66565.97;62321.74;62388.80
22/10/2021;62292.82;63645.11;60416.15;60766.32
25/10/2021;61032.37;63555.77;60919.72;62894.18
26/10/2021;62903.51;63990.79;62538.85;63391.79
27/10/2021;63384.57;63583.85;58394.76;58640.08
28/10/2021;58577.42;62045.93;58413.83;60652.29
29/10/2021;60701.83;62994.41;60547.86;62293.01
01/11/2021;61355.80;62374.91;59873.55;61146.91
02/11/2021;61081.81;64167.16;60864.28;63218.10
03/11/2021;63260.67;63487.79;61772.58;63046.17
04/11/2021;63014.22;63129.24;60929.92;61448.73
05/11/2021;61489.55;62539.14;60929.07;61142.75
08/11/2021;63267.37;67677.81;63267.37;67589.77
09/11/2021;67589.88;68457.48;66457.97;67089.20
10/11/2021;67036.77;68692.14;64402.23;64959.27
11/11/2021;65057.84;65533.05;64376.02;64910.77
12/11/2021;64929.07;65445.00;62645.53;64263.42
15/11/2021;65472.96;66232.13;63693.23;63843.13
16/11/2021;63782.38;63782.38;59382.31;60317.27
17/11/2021;60255.37;60725.38;59015.10;60439.49
18/11/2021;60430.90;60881.93;56702.85;56907.93
19/11/2021;56959.61;58334.61;55805.93;58086.39
22/11/2021;58876.70;59057.63;55869.79;56462.30
23/11/2021;56415.20;57791.48;55882.57;57716.60
24/11/2021;57632.46;57703.30;56008.50;57196.67
25/11/2021;57204.53;59438.17;57145.60;58595.09
26/11/2021;58644.87;59179.14;53759.68;53825.55
29/11/2021;57263.15;58727.89;56932.70;57889.96
30/11/2021;57799.51;58960.34;56092.83;57032.30
01/12/2021;56985.05;58931.73;56640.63;57217.66
02/12/2021;57218.39;57309.96;55993.12;56448.38
03/12/2021;56514.00;57432.70;52983.80;53821.99
06/12/2021;49446.46;50953.03;47523.79;50563.89
07/12/2021;50625.31;51895.80;50301.63;50615.04
08/12/2021;50689.68;50932.84;48867.05;50389.39
09/12/2021;50470.59;50741.14;47457.63;47920.49
10/12/2021;47879.76;49840.20;47414.36;47414.36
13/12/2021;50088.05;50156.72;46281.56;46834.77
14/12/2021;46810.45;48614.34;46568.62;48431.84
15/12/2021;48430.03;49450.11;46815.09;48838.75
16/12/2021;48899.01;49349.00;47654.34;47704.04
17/12/2021;47666.56;47959.78;45918.09;46342.68
20/12/2021;46770.09;47210.11;45708.63;47059.11
21/12/2021;46924.84;49218.12;46794.84;49008.78
22/12/2021;48963.35;49592.10;48582.02;48695.21
23/12/2021;48669.85;51289.96;48213.20;50842.95
24/12/2021;50868.15;51911.44;50483.32;50868.22
27/12/2021;50871.14;52040.01;50648.79;50805.93
28/12/2021;50785.02;50785.02;47532.64;47754.48
29/12/2021;47686.41;48148.76;46457.92;46565.85
30/12/2021;46622.17;47903.12;46378.88;47171.75
31/12/2021;47183.14;48511.45;45916.62;46387.98
